origin_date,target_date,horizon_days,district,hazard,p_Flood,p_Drought,p_Normal,threshold_flood,threshold_drought,temperature,explanation_top_features,y_pred_mm,roll3_mm,roll7_mm,roll30_mm,n_stations,feedback,comment
2024-07-24,2024-07-31,7,Kilinŏchchi,Drought,2.626447588543857e-199,1.0,1.2862915488845647e-31,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549991876587544}, {""feature"": ""roll3_mm"", ""shap_value"": 0.024999954878280807}, {""feature"": ""y_pred_mm"", ""shap_value"": -9.279304466480731e-08}, {""feature"": ""roll7_mm"", ""shap_value"": -2.943506072564106e-09}]",0.872566892373096,1.575000076569098,1.6750000797521816,1.687500079968743,8,,
2024-07-24,2024-07-31,7,Kægalla,Flood,1.0,9.85614569992819e-134,7.06680504337875e-21,0.6,0.6,0.5,"[{""feature"": ""roll3_mm"", ""shap_value"": 0.8748538887054124}, {""feature"": ""roll30_mm"", ""shap_value"": 0.04531012300836434}, {""feature"": ""roll7_mm"", ""shap_value"": -0.00014731847007989386}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.1249508190886576e-05}]",1.3364345008559824,66.46363815849023,104.27272754051512,105.49090937287644,11,,
2024-07-24,2024-07-31,7,Kŏḷamba,Flood,1.0,3.8053593930589607e-163,4.5704659438881576e-30,0.6,0.6,0.5,"[{""feature"": ""roll3_mm"", ""shap_value"": 0.9129127245644153}, {""feature"": ""roll30_mm"", ""shap_value"": 0.010237809192636024}, {""feature"": ""roll7_mm"", ""shap_value"": -0.003157236065740079}, {""feature"": ""y_pred_mm"", ""shap_value"": 1.21460441946733e-05}]",1.4087532209542513,69.66000149537905,117.25999911535273,120.25999894086172,5,,
2024-07-24,2024-07-31,7,Mannārama,Drought,9.93378084403149e-200,1.0,8.152781359290283e-32,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.854999190644545}, {""feature"": ""roll3_mm"", ""shap_value"": 0.02499995774591221}, {""feature"": ""y_pred_mm"", ""shap_value"": -9.789994936948432e-08}, {""feature"": ""roll7_mm"", ""shap_value"": -3.6900236061176983e-09}]",0.8594861080358913,1.5000000021764357,1.5400000054382057,1.5400000054382057,15,,
2024-07-24,2024-07-31,7,Maḍakalapuva,Drought,1.835412114138088e-177,1.0,1.392712306505136e-23,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.854953751276073}, {""feature"": ""roll3_mm"", ""shap_value"": 0.025066039958313843}, {""feature"": ""roll7_mm"", ""shap_value"": -3.0293912651203556e-05}, {""feature"": ""y_pred_mm"", ""shap_value"": 9.549478748812484e-06}]",0.9142959031686696,6.337500205548171,7.418750221228089,7.462500216264465,16,,
2024-07-24,2024-07-31,7,Mulativ,Drought,5.1197291302071665e-197,1.0,1.9123060938071898e-30,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549992231204485}, {""feature"": ""roll3_mm"", ""shap_value"": 0.02499994188415629}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.19894755786637e-07}, {""feature"": ""roll7_mm"", ""shap_value"": 1.6906354267931523e-09}]",0.7962671227842998,1.9777778324527844,2.5111111831010886,2.5111111831010886,18,,
2024-07-24,2024-07-31,7,Mātale,Drought,1.246734448682618e-173,1.0,2.3070809569071745e-17,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8458543853687023}, {""feature"": ""roll3_mm"", ""shap_value"": 0.034312919540118}, {""feature"": ""roll7_mm"", ""shap_value"": -0.000323707130039836}, {""feature"": ""y_pred_mm"", ""shap_value"": 0.0001554490217039288}]",0.9917836159126096,5.516666585618282,11.733333586387197,12.075000202872229,12,,
2024-07-24,2024-07-31,7,Mŏṇarāgala,Drought,4.9469713934237175e-160,1.0,8.028791096853617e-17,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8454171697549931}, {""feature"": ""roll3_mm"", ""shap_value"": 0.03466596896382977}, {""feature"": ""roll7_mm"", ""shap_value"": -0.00017066547280898507}, {""feature"": ""y_pred_mm"", ""shap_value"": 8.657355447043089e-05}]",0.9987776563249828,10.007894911053771,12.134210743786335,12.34736864089653,38,,
2024-07-24,2024-07-31,7,Puttalama,Drought,9.640531334121224e-130,0.9999968039484394,3.196051560673467e-06,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8442744419135583}, {""feature"": ""roll3_mm"", ""shap_value"": 0.03600641235146361}, {""feature"": ""roll7_mm"", ""shap_value"": -0.00042909871294934294}, {""feature"": ""y_pred_mm"", ""shap_value"": 0.00014409519684979027}]",1.0349830132847406,16.80000079358534,19.25000083672492,19.943750877431675,16,,
2024-07-24,2024-07-31,7,Pŏḷŏnnaruva,Drought,1.2159763282875152e-192,1.0,3.1341483635506748e-28,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549992317538233}, {""feature"": ""roll3_mm"", ""shap_value"": 0.024999918611300433}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.1305873039157976e-07}, {""feature"": ""roll7_mm"", ""shap_value"": 9.49409092662612e-09}]",0.8106060735389029,2.7240000784989613,4.120000089971372,4.120000089971372,25,,
